,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
771,jinzhou,cn,41.1078,121.1417,30.76,34,0,4.94
780,narsaq,gl,60.9167,-46.05,28.27,69,88,2.82
784,frederiksvaerk,dk,55.9707,12.0225,43.39,99,64,16.69
786,camara de lobos,pt,32.6333,-16.9667,65.68,100,12,12.44
788,sofiyivka,ua,48.0493,33.8746,34.18,95,92,2.93
791,carbonia,it,39.1672,8.5222,49.98,100,32,11.1
795,suoyarvi,ru,62.0833,32.35,34.86,98,92,6.85
797,marystown,ca,47.1666,-55.1483,38.73,100,12,12.77
800,vila velha,br,-20.3298,-40.2925,75.04,94,44,18.03
802,sioux lookout,ca,50.1001,-91.917,12.43,82,64,7.85
803,helong,cn,42.5397,128.9972,9.16,46,20,8.97
805,cotoca,bo,-17.8167,-63.05,72.19,76,76,19.71
806,agadir,ma,30.4202,-9.5982,48.51,100,0,2.71
808,lashma,ru,54.9321,41.1438,32.7,93,92,13.89
812,ahuimanu,us,21.4447,-157.8378,68.92,76,0,6.4
817,fortuna,us,40.5982,-124.1573,35.55,98,20,1.7
825,oranjemund,na,-28.55,16.4333,59.7,97,80,16.13
826,pemangkat,id,1.1667,108.9667,86.43,75,56,4.27
828,wageningen,sr,5.7667,-56.6834,80.49,100,92,16.46
840,benguela,ao,-12.5763,13.4055,72.66,95,92,1.92
842,yining,cn,29.0361,114.5636,43.18,95,100,3.15
845,manakara,mg,-22.1334,48.0167,75,100,68,4.61
846,deputatskiy,ru,69.3,139.9,-8.22,75,68,3.83
847,beringovskiy,ru,63.05,179.3167,26.71,95,20,26.75
852,aklavik,ca,68.2191,-135.0108,-7.61,62,64,4.16
856,tilichiki,ru,60.4667,166.1,22.62,86,20,4.61
857,srednekolymsk,ru,67.45,153.6833,-0.33,66,44,7.4
861,zhigansk,ru,66.7697,123.3711,-18.12,79,36,3.94
866,diamantino,br,-14.4087,-56.4462,69.42,97,76,4.72
869,hargeysa,so,9.56,44.065,61.23,94,92,7.63
871,hamadan,ir,34.7992,48.5146,47.79,76,32,3.6
875,newport,us,41.4901,-71.3129,57.29,86,88,24.85
878,progreso,mx,21.2833,-89.6667,69.62,87,36,3.27
884,dallas,us,32.7831,-96.8067,46.56,50,0,11.43
892,tazovskiy,ru,67.4667,78.7,-2.4,73,80,5.5
902,juneau,us,58.3019,-134.4198,18.09,100,92,2.93
916,guamo,co,4.0308,-74.9701,67.55,100,80,1.92
918,san mateo del mar,mx,16.2,-95,77.11,96,0,18.37
921,wajima,jp,37.4,136.9,38.05,100,92,16.35
924,wilmington,us,34.2257,-77.9448,68.07,67,24,17.02
925,peniche,pt,39.3558,-9.3812,51.53,99,0,5.17
926,horki,by,54.2861,30.9842,31.03,98,88,6.73
930,caracuaro,mx,19.0106,-101.1264,48.81,89,0,1.14
933,adrar,dz,27.8743,-0.2939,40.75,82,0,8.41
935,tonk,in,26.1667,75.7833,71.26,64,0,6.17
936,champerico,gt,14.3,-91.9167,73.33,100,44,2.71
938,havre-saint-pierre,ca,50.2334,-63.5987,27.19,91,32,7.74
939,san quintin,mx,30.4833,-115.95,55.51,70,88,1.92
940,irtyshskiy,ru,58.3333,68.1333,26.58,94,80,7.18
941,prince rupert,ca,54.3161,-130.3202,35.29,100,92,2.15
942,najran,sa,17.4924,44.1277,70.47,35,0,4.27
945,truro,ca,45.3669,-63.2654,27.97,100,20,4.05
947,mercedes,uy,-33.2524,-58.0305,50.38,59,0,8.41
948,eenhana,na,-17.4667,16.3333,69.28,21,0,11.43
950,chuy,uy,-33.6971,-53.4617,47.91,93,0,8.63
951,rawson,ar,-43.3002,-65.1023,48.76,100,80,26.31
953,las choapas,mx,17.9333,-94.0834,71.85,99,80,7.4
955,harper,lr,4.375,-7.717,78.69,100,68,5.95
959,ullapool,gb,57.8987,-5.1604,44.53,100,56,12.66
960,ingham,au,-18.65,146.1667,80.08,89,8,7.29
961,kuruman,za,-27.4524,23.4325,69.87,19,0,4.94
962,laguna,br,-28.4825,-48.7809,66.63,100,48,22.06
963,acarau,br,-2.8856,-40.12,74.23,93,64,10.65
964,guerrero negro,mx,27.9769,-114.0612,64.06,74,24,9.08
965,bunia,cd,1.5667,30.25,67.03,97,68,2.93
966,utevka,ru,52.9035,50.9495,33.15,92,92,11.21
977,namibe,ao,-15.1962,12.1522,69.73,100,20,2.26
979,qaracala,az,39.8132,48.9523,52.54,100,92,5.61
982,alofi,nu,-19.0596,-169.9187,83.59,96,48,13.33
985,bousso,td,10.4795,16.7117,75.09,63,20,2.82
990,tomari,ru,47.7658,142.0683,20.19,99,36,12.44
991,tessalit,ml,20.1986,1.0114,47.64,36,0,4.5
992,sao joao da barra,br,-21.6403,-41.0512,77.07,96,32,27.65
1001,esperance,au,-33.8667,121.9,74.64,71,0,8.63
1004,muros,es,42.7762,-9.0604,45.5,99,0,7.74
1005,west wendover,us,40.7391,-114.0734,19.65,78,0,1.81
1011,ketchikan,us,55.3422,-131.6462,35.76,100,88,4.5
1015,macau,br,-5.115,-36.6345,72.66,84,8,9.53
1022,savelugu,gh,9.6244,-0.8253,76.21,79,36,8.08
1024,deneysville,za,-26.8908,28.0971,71.53,37,0,4.72
1025,vagur,fo,61.4732,-6.8119,43.32,100,88,17.13
1027,ati,td,13.2154,18.3353,74.86,22,0,11.99
1029,mahibadhoo,mv,3.7833,72.9667,82.83,100,48,5.61
1031,rio grande,br,-32.035,-52.0987,54.84,100,0,11.43
1036,terrak,no,65.087,12.3715,22.64,83,44,2.26
1037,korla,cn,41.7597,86.1469,38.86,45,44,4.83
1041,komsomolskiy,ru,43.9783,46.6985,45.39,91,0,2.93
1043,phuket,th,7.8906,98.3981,87.06,100,8,8.41
1044,ha giang,vn,22.8333,104.9833,61.77,89,88,2.26
1045,toamasina,mg,-18.1667,49.3833,75.22,95,100,1.92
1046,kantang,th,7.4054,99.5156,91.06,89,20,5.95
1047,hualmay,pe,-11.0964,-77.6139,55.29,88,36,4.38
1049,tabou,ci,4.423,-7.3528,78.51,100,64,7.4
1051,kavaratti,in,10.5669,72.642,82.65,100,0,3.94
1060,fonte boa,br,-2.496,-66.2663,77.07,93,8,4.16
1063,carutapera,br,-1.195,-46.0201,77.34,88,0,7.29
1067,lagoa,pt,39.05,-27.9834,67.62,98,80,23.85
1068,ahraura,in,25.0167,83.0167,76.98,79,0,7.85
1073,caravelas,br,-17.7126,-39.2482,77.74,98,24,17.81
1074,malatya,tr,38.5,38,44.35,84,44,2.82
1075,pokhara,np,28.2333,83.9833,65.73,61,0,2.71
1076,totness,sr,5.8833,-56.3167,80.49,100,92,16.46
1078,mokhsogollokh,ru,61.4681,128.9203,-13.38,61,48,3.04
1081,umea,se,63.8284,20.2597,27.16,100,88,24.18
1082,eydhafushi,mv,5.1033,73.0708,82.38,100,8,3.15
1085,pangnirtung,ca,66.1451,-65.7126,-1.47,70,0,7.63
1087,ratnagiri,in,16.9833,73.3,85.08,85,12,11.88
1089,camacha,pt,33.0833,-16.3334,66.25,100,80,11.77
1090,fort morgan,us,40.2503,-103.8,18.99,67,0,6.4
1092,mineral wells,us,32.8085,-98.1129,41.65,62,0,9.64
1093,normandin,ca,48.8333,-72.5321,20.25,85,92,2.71
1094,kourou,gf,5.1552,-52.6478,77.23,94,100,9.64
1098,bela vista de goias,br,-16.9728,-48.9534,69.31,88,56,4.16
1099,corinto,ni,12.482,-87.1734,73.02,85,20,2.71
1118,beira,mz,-19.8437,34.8389,76.98,90,92,5.17
1121,soria,es,41.764,-2.4689,19.92,67,0,2.26
1133,chiang rai,th,19.9086,99.8325,88.99,69,24,4.05
1141,nortelandia,br,-14.4548,-56.8028,69.73,97,56,5.61
1146,linjiang,cn,41.8069,126.9078,8.98,66,48,6.85
1149,mitchell,us,43.7094,-98.0298,18.61,65,0,4.38
1152,liliani,pk,32.2065,72.9537,63.43,97,0,4.38
1153,makakilo city,us,21.3469,-158.0859,68.92,76,0,6.4
1157,palu,id,-0.8917,119.8707,86.88,73,32,2.71
1161,surt,ly,31.2089,16.5887,58.62,100,0,13.22
1164,sonepur,in,20.8333,83.9167,80.58,92,0,4.38
1166,manokwari,id,-0.8667,134.0833,84.63,98,0,9.98
1174,ciudad real,es,38.9833,-3.9334,28.65,66,0,2.71
1179,xichang,cn,27.8964,102.2634,59.29,60,0,1.7
1181,rupert,us,42.6191,-113.6773,19.08,92,24,5.73
1190,lahij,ye,13.0567,44.8819,77.52,51,0,5.28
1191,mocajuba,br,-2.5842,-49.5073,79.59,75,0,5.39
1192,port hedland,au,-20.3167,118.5667,101.14,28,0,13.44
1207,sassenberg,de,52,8.05,40.05,95,8,16.35
1223,roald,no,62.5833,6.1333,37.72,100,92,10.76
1224,tambacounda,sn,13.7539,-13.7587,72.81,30,76,6.4
1225,yeppoon,au,-23.1334,150.7333,78.73,74,36,13.67
1227,nemuro,jp,43.3236,145.575,38.57,100,0,17.02
1235,rantepao,id,-2.9701,119.8978,75.18,100,36,2.59
1236,zhangjiakou,cn,40.81,114.8794,32.56,28,12,5.84
1240,galashki,ru,43.1136,44.9894,39.54,74,0,1.92
1242,karratha,au,-20.7377,116.8463,101.01,17,0,10.65
1243,alta floresta,br,-9.8756,-56.0862,74.19,96,36,2.15
1244,sucre,co,8.8114,-74.7209,74.01,98,44,2.37
1251,miramar,mx,22.3333,-97.8667,74.86,99,0,4.16
1256,domna,ru,51.8971,113.1573,19.6,52,0,5.39
1257,wanaka,nz,-44.7001,169.15,62.49,65,0,2.04
1260,fairbanks,us,64.8378,-147.7164,-20.19,24,0,8.19
1267,lovozero,ru,68.005,35.0117,12.31,89,36,2.59
1268,nuuk,gl,64.1835,-51.7216,13.84,100,8,5.06
1270,kerouane,gn,9.2667,-9.0167,58.21,88,12,2.71
1282,hay river,ca,60.8156,-115.8,-2.01,73,64,3.71
1285,taoudenni,ml,22.6783,-3.9837,47.91,36,0,8.19
1289,khash,ir,28.2211,61.2158,52.5,22,0,4.16
1295,houlton,us,46.1262,-67.8404,29.75,75,80,7.52
1296,xining,cn,36.6167,101.7667,34.23,50,36,3.49
1300,cairns,au,-16.9167,145.7667,82.89,91,0,8.52
1305,alghero,it,40.5589,8.3181,50.5,86,76,8.86
1307,puerto escondido,mx,15.85,-97.0667,82.56,100,20,5.95
1326,malm,no,64.0721,11.2172,22.68,100,76,2.59
1328,coihaique,cl,-45.5753,-72.0662,32.52,59,0,4.05
1342,agirish,ru,61.9247,63.0231,25.99,88,88,5.28
1345,atar,mr,20.5169,-13.0499,52.59,39,76,2.59
1349,nizamabad,in,18.6667,78.1167,87.24,50,0,9.75
1353,bardiyah,ly,31.7561,25.0865,59.61,100,0,15.01
1360,the valley,ai,18.217,-63.0579,82.51,95,100,8.52
1361,sayyan,ye,15.1718,44.3244,53.26,36,0,2.59
1367,ambilobe,mg,-13.2,49.05,80.98,91,0,2.48
1373,tayoltita,mx,24.0833,-105.9334,65.14,57,0,1.59
1378,oranjestad,aw,12.524,-70.0271,75.56,100,92,4.38
1380,verkhnevilyuysk,ru,63.4453,120.3167,-4.62,67,64,4.61
1396,ardakan,ir,32.31,54.0175,55.98,50,0,3.94
1398,ankazoabo,mg,-22.2834,44.5167,83.86,49,12,10.09
1402,itacoatiara,br,-3.1431,-58.4442,77.83,82,0,5.39
1405,kuching,my,1.55,110.3333,88,100,12,1.81
1407,tulle,fr,45.2667,1.7667,25.56,75,0,2.71
1413,las varas,mx,21.1667,-105.1667,66.24,93,20,1.59
1421,luena,ao,-11.7834,19.9167,66.54,91,80,3.94
1425,lososina,ru,48.9975,140.3106,12.63,100,8,13.78
1426,devrek,tr,41.2192,31.9558,47.64,99,44,2.48
1427,iwaki,jp,37.05,140.8833,43.65,100,92,5.39
1429,kaeo,nz,-35.1,173.7833,61.5,75,68,12.77
1434,maniwaki,ca,46.3834,-75.9661,29.46,93,92,6.17
1442,capao bonito,br,-24.0059,-48.3495,63.88,100,92,3.6
1449,iskateley,ru,67.6803,53.1512,28.38,89,92,11.21
1453,beyneu,kz,45.3167,55.2,33.46,75,32,13.78
1455,hit,iq,33.6416,42.8251,58.26,79,80,8.08
1457,linxia,cn,35.6003,103.2064,31.39,57,32,3.6
1459,north platte,us,41.1239,-100.7655,18.54,65,0,4.94
1462,ust-kulom,ru,61.6864,53.6902,33.19,80,80,8.3
1468,panguna,pg,-6.3164,155.4848,80.08,89,44,3.15
1470,severnyy,ru,50.677,36.5532,35.08,97,92,6.62
1479,gbadolite,cd,4.2833,21.0167,73.29,95,68,2.93
1480,porto santo,pt,33.072,-16.3415,66.25,100,80,11.77
1483,hambantota,lk,6.1241,81.1185,85.08,95,8,6.06
1491,serov,ru,59.6033,60.5787,27.3,87,56,5.73
1496,tigil,ru,57.8,158.6667,35.4,90,92,18.03
1498,flinders,au,-34.5834,150.8552,68.47,71,56,5.17
1500,paragominas,br,-2.9667,-47.4834,73.65,92,20,3.6
1514,kuchera,in,26.9839,73.9719,72.21,50,0,6.73
1515,miles city,us,46.4083,-105.8406,19.54,62,0,6.17
1517,husavik,is,66.0449,-17.3389,21.15,100,88,1.92
1521,aleksandrovsk-sakhalinskiy,ru,50.8975,142.1561,19.06,100,68,17.02
1523,thinadhoo,mv,0.5333,72.9333,83.68,100,76,10.31
1524,talaya,ru,61.3833,152.75,-17.79,70,68,2.71
1526,panalingaan,ph,8.7842,117.4231,81.66,98,64,2.59
1527,topolobampo,mx,25.6,-109.0501,64.49,87,0,12.21
1533,seoul,kr,37.5683,126.9778,40.68,39,0,10.98
1537,arak,ir,34.0917,49.6892,41.07,85,0,3.38
1539,necochea,ar,-38.5473,-58.7368,52.63,76,80,18.25
1540,meulaboh,id,4.1363,96.1285,82.56,100,36,2.93
1545,portobelo,pa,9.55,-79.6501,75.24,100,92,4.61
1547,altus,us,34.6381,-99.334,28.81,67,0,2.93
1557,merauke,id,-8.4667,140.3333,84.81,90,76,8.75
1560,turangi,nz,-39,175.9333,53.08,72,100,13.33
1566,biloela,au,-24.4167,150.5,70.77,69,92,5.95
1568,cessnock,au,-32.8334,151.35,73,60,12,5.61
1574,samarai,pg,-10.6167,150.6667,76.39,100,92,14.45
1578,acajutla,sv,13.5928,-89.8275,70.99,92,12,3.15
1582,cananea,mx,30.95,-110.3001,41.61,60,8,4.61
1587,kaoma,zm,-14.7834,24.8,72.03,77,44,11.77
1590,takaka,nz,-40.85,172.8,62.26,69,0,5.95
1591,cap-haitien,ht,19.7578,-72.2042,74.55,100,76,7.96
1594,namatanai,pg,-3.6667,152.4333,82.47,100,44,4.38
1595,rio do sul,br,-27.2142,-49.6431,59.56,87,0,4.16
1602,riyadh,sa,24.6877,46.7219,68.31,45,0,6.62
1609,aswan,eg,24.0934,32.907,73.29,78,0,4.83
1616,norfolk,us,36.8468,-76.2853,65.16,67,68,22.73
1620,kilis,tr,36.7161,37.115,56.93,40,8,12.66
1621,primorsko-akhtarsk,ru,46.0497,38.1747,42.42,100,88,4.05
1626,claveria,ph,18.6074,121.0832,78.06,100,68,12.21
1629,yenagoa,ng,4.9247,6.2642,75.9,89,68,5.39
1630,astoria,us,46.1879,-123.8313,36.61,96,24,5.17
1631,koslan,ru,63.4564,48.8989,33.42,91,88,7.4
1633,teacapan,mx,22.55,-105.75,72.79,78,64,1.59
1635,saint-pierre,pm,46.7654,-56.1695,43.63,100,76,23.96
1636,svencioneliai,lt,55.1667,26,33.15,92,92,16.13
1639,marhaura,in,25.9667,84.8667,88.99,44,0,5.61
1640,gbarnga,lr,6.9956,-9.4723,71.67,97,92,3.71
1641,waipawa,nz,-41.4123,175.5153,58.57,84,0,14.23
1642,denpasar,id,-8.65,115.2167,82.13,99,56,2.37
1646,holice,cz,50.066,15.9859,36.16,95,92,12.66
1647,lagunas,pe,-5.227,-75.6753,77.7,93,12,2.26
1650,sao felix do xingu,br,-6.6448,-51.995,72.61,96,36,2.26
1655,juquitiba,br,-23.9317,-47.0684,62.55,98,92,3.15
1659,deep river,ca,46.1001,-77.4995,29.97,93,92,6.73
1669,sinnamary,gf,5.3833,-52.9501,80.98,94,100,9.64
1670,talcahuano,cl,-36.7167,-73.1167,54.05,96,0,16.91
1671,porangatu,br,-13.4409,-49.1487,70.54,94,80,2.59
1674,gazanjyk,tm,39.2446,55.5154,46.47,83,0,3.6
1677,dinguiraye,gn,11.3,-10.7167,62.31,65,0,2.93
1696,qandala,so,11.472,49.8728,75.54,74,48,5.28
1703,bubaque,gw,11.2833,-15.8334,81.84,100,64,2.59
1709,ulladulla,au,-35.35,150.4667,70.47,88,36,7.85
1713,saryg-sep,ru,51.5,95.6,10.2,84,12,2.37
1722,kjollefjord,no,70.9457,27.3465,20.73,75,36,2.93
1729,vila franca do campo,pt,37.7167,-25.4334,66.61,100,68,12.88
1730,savannah bight,hn,16.45,-85.85,74.73,100,92,9.42
1741,belyy yar,ru,53.6039,91.3903,25.56,71,8,4.05
1744,esperantinopolis,br,-4.8667,-44.7084,77.79,75,20,5.39
1753,columbus,us,39.9612,-82.9988,28.94,98,92,22.73
1757,lianzhou,cn,24.7811,112.3825,49.17,97,92,2.82
1758,rastolita,ro,46.9726,24.9929,32.83,97,88,3.38
1759,kamaishi,jp,39.2667,141.8833,37.29,79,56,6.17
1761,poum,nc,-20.2334,164.0167,71.04,100,100,10.98
1762,roseburg,us,43.2165,-123.3418,27.82,85,8,2.15
1774,san andres,co,12.5847,-81.7006,82.74,100,88,11.99
1780,puerto castilla,hn,16.0167,-85.9667,73.17,100,92,9.42
1785,omboue,ga,-1.5747,9.2618,77.79,100,88,6.62
1791,sombrio,br,-29.1139,-49.6167,62.85,98,8,9.98
1792,batalha,br,-9.6778,-37.1248,69.96,88,0,7.07
1797,auki,sb,-8.7677,160.7034,82.65,100,80,6.17
1802,montepuez,mz,-13.1256,38.9997,78.78,72,56,8.41
1804,awbari,ly,26.5921,12.7805,45.79,34,76,3.71
1805,pirovskoye,ru,57.6267,92.2658,30.13,88,88,9.42
1808,silvan,tr,38.1419,41.0081,45.86,93,92,3.71
1815,nishihara,jp,26.1842,127.7558,69.94,100,44,20.38
1816,shingu,jp,33.7333,135.9833,53.44,100,0,19.26
1823,goundam,ml,16.4145,-3.6708,58.53,57,20,5.61
1828,baghdad,iq,33.3406,44.4009,67.87,66,64,3.94
1832,yuci,cn,37.6803,112.7319,44.62,49,56,3.94
1834,praia da vitoria,pt,38.7333,-27.0667,66.25,100,88,22.06
1840,skibbereen,ie,51.55,-9.2667,42.1,97,68,3.6
1841,abu zabad,sd,12.35,29.25,76.39,75,0,4.61
1843,kudahuvadhoo,mv,2.6708,72.8944,82.47,100,100,7.4
1845,cururupu,br,-1.8284,-44.8684,75.81,88,32,5.61
1846,formosa,br,-15.5373,-47.3345,65.23,93,88,3.27
1850,jaisalmer,in,26.9147,70.9181,67.48,85,0,4.72
1856,tommot,ru,58.9564,126.2925,-15.15,64,44,3.6
1862,nivala,fi,63.9167,25,28.02,89,88,5.73
1863,barreirinha,br,-2.7934,-57.07,77.16,76,8,3.6
1864,petropavlovsk-kamchatskiy,ru,53.0452,158.6483,34.81,98,92,17.81
1867,ballina,au,-28.8667,153.5667,70.81,100,92,12.33
1868,gizo,sb,-8.1031,156.8419,85.44,100,20,8.19
1871,tsumeb,na,-19.2334,17.7167,70.86,21,0,7.85
1876,statesville,us,35.7826,-80.8873,60.31,94,80,16.02
1880,vestmannaeyjar,is,63.4427,-20.2734,23.74,100,0,10.76
1884,daru,pg,-9.0763,143.2092,81.75,95,68,11.65
1895,ebolowa,cm,2.9,11.15,70.05,97,92,2.82
1903,timberlake,us,37.3207,-79.2576,58.68,97,92,14.45
1906,kieta,pg,-6.2167,155.6333,81.61,100,64,4.61
1908,fort william,gb,56.8165,-5.1121,38.23,100,88,3.49
1910,kiruna,se,67.8557,20.2251,21.06,89,80,4.83
1924,porto novo,cv,17.0197,-25.0648,73.11,100,0,8.63
1930,taltal,cl,-25.4,-70.4834,49.89,97,36,1.81
1939,northam,au,-31.6667,116.6667,84.94,48,0,9.08
1941,tagusao,ph,9.1924,117.8141,81.66,98,64,2.59
1943,forest,ca,43.1001,-81.9999,38.25,100,92,35.37
1944,bien hoa,vn,10.95,106.8167,77.34,100,100,10.98
1948,byron bay,au,-28.65,153.6167,72.68,100,92,12.33
1959,kampot,kh,10.6167,104.1833,82.96,88,68,4.27
1963,inuvik,ca,68.3499,-133.7219,-4.29,61,64,1.7
1974,manado,id,1.487,124.8455,87.91,84,64,2.15
1975,san ramon,bo,-13.2834,-64.7167,76.48,75,36,5.28
1995,bambanglipuro,id,-7.95,110.2833,80.22,91,76,4.38
1996,orapa,bw,-21.2834,25.3667,66.99,60,0,12.33
